Rank,Released,Released Worldwide,Release Year,Title,Theatrical Distributor,Genre,Source,Production Method,Creative Type,Production Budget,Opening Weekend Theaters,Maximum Theaters,Theatrical Engagements,Opening Weekend Revenue,Domestic Box Office,Infl. Adj. Dom. Box Office,International Box Office,Worldwide Box Office
53,"Aug 27, 2021","Aug 6, 2021",2021,Candyman,Universal,Horror,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,25000000,3569,3569,21271,22001750,61186570,68045246,16200093,77386663
54,"Jul 2, 2021","Jul 1, 2021",2021,The Forever Purge,Universal,Horror,Original Screenplay,Live Action,Science Fiction,18000000,3051,3058,14852,12551220,44539245,49531840,32411280,76950525
55,"Dec 31, 2021","Jun 25, 2021",2021,1921,,Drama,Based on Real Life Events,Live Action,Dramatization,0,0,0,0,0,0,0,75017096,75017096
56,"Dec 10, 2021","Dec 8, 2021",2021,West Side Story,20th Century Studios,Musical,Based on Musical or Opera,Live Action,Contemporary Fiction,100000000,2820,2820,21620,10574618,38530322,42455433,36299047,74829369
57,"Dec 31, 2021","Jan 1, 2022",2021,Li Mao Huan Tai Zi,,Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,72760000,72760000
58,"Dec 31, 2021","May 1, 2024",2021,Formed Police Unit,,Action,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,71896273,71896273
59,"Apr 12, 2021","Feb 6, 2021",2021,New Gods: Nezha Reborn,,Adventure,Based on Fiction Book/Short Story,Digital Animation,Fantasy,0,0,0,0,0,0,0,70070914,70070914
60,"Feb 5, 2021","Dec 25, 2020",2021,Yin-Yang Master I,,Action,Based on Fiction Book/Short Story,Live Action,Fantasy,0,0,0,0,0,0,0,69740000,69740000
61,"Dec 17, 2021","Dec 2, 2021",2021,Gu Dong Ju Zhong Ju,Well Go USA,Adventure,Original Screenplay,Live Action,Contemporary Fiction,0,28,28,28,36501,36501,40592,67560921,67597422
62,"Jun 16, 2021","Jun 11, 2021",2021,The Hitman s Wife s Bodyguard,Lionsgate,Comedy,Original Screenplay,Live Action,Contemporary Fiction,70000000,3331,3361,13215,11397820,38014727,42275966,29372728,67387455
63,"Oct 22, 2021","Sep 11, 2021",2021,Wu Xian Shen Du,China Lion Film Distribution,Action,Original Screenplay,Live Action,Science Fiction,0,0,0,0,0,0,0,64900464,64900464
64,"Dec 31, 2021","Dec 24, 2022",2021,Someday or One Day,,Drama,Based on TV,Live Action,Science Fiction,0,0,0,0,0,0,0,62685199,62685199
65,"Dec 31, 2021","Jul 30, 2021",2021,Sheng xia wei lai,,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,59730000,59730000
66,"Oct 22, 2021","Oct 13, 2021",2021,Ron s Gone Wrong,20th Century Studios,Adventure,Original Screenplay,Digital Animation,Kids Fiction,0,3560,3560,14770,7300225,23009270,25588479,35225538,58234808
67,"Mar 26, 2021","Mar 19, 2021",2021,Nobody,Universal,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,16000000,2460,2567,21178,6820100,27568035,30658255,29944435,57512470
68,"Dec 31, 2021","May 20, 2021",2021,Wo Yao Wo Men Zai Yi Qi,,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,57215847,57215847
69,"Jul 16, 2021","Jul 1, 2021",2021,Escape Room: Tournament of Champions,Sony Pictures,Horror,Original Screenplay,Live Action,Contemporary Fiction,15000000,2815,2815,10177,8801391,25314753,28152400,28178311,53493064
70,"Jun 18, 2021","Jun 17, 2021",2021,Luca,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,0,0,1390,2780,0,1324302,1324302,49787534,51111836
71,"Nov 12, 2021","Nov 12, 2021",2021,Belfast,Focus Features,Drama,Original Screenplay,Live Action,Historical Fiction,0,580,1255,10346,1779410,9250870,10197921,40256478,49507348
72,"Oct 22, 2021","Oct 21, 2021",2021,The French Dispatch,Searchlight Pictures,Comedy,Original Screenplay,Live Action,Historical Fiction,0,52,1225,5680,1348804,16124375,17926226,31262788,47387163
73,"Aug 13, 2021","Aug 12, 2021",2021,Don t Breathe 2,Sony Pictures,Horror,Original Screenplay,Live Action,Contemporary Fiction,15000000,3005,3005,14720,10622473,32638038,36296584,14563309,47201347
74,"Jun 10, 2021","Jun 10, 2021",2021,In the Heights,Warner Bros.,Musical,Based on Musical or Opera,Live Action,Contemporary Fiction,55000000,3456,3509,12587,11504710,29975167,33335218,15200000,45175167
75,"May 11, 2021","Sep 7, 2019",2021,Luo Xiaohei zhan ji,,Adventure,Based on Folk Tale/Legend/Fairytale,Digital Animation,Fantasy,0,0,0,0,0,0,0,43883918,43883918
76,"Jun 18, 2021","Apr 23, 2021",2021,RurÃ´ni Kenshin: Sai shÃ»shÃ´ - The F,,Action,Based on Comic/Graphic Novel,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,43384254,43384254
77,"Jun 4, 2021","Mar 7, 2021",2021,Spirit Untamed,Universal,Adventure,Based on TV,Digital Animation,Kids Fiction,30000000,3211,3394,16152,6101050,17716215,19702099,24519529,42235744
78,"Nov 24, 2021","Nov 24, 2021",2021,Resident Evil: Welcome to Raccoon City,Sony Pictures,Horror,Based on Game,Live Action,Science Fiction,25000000,2803,2803,8995,5319280,17000612,18903365,24908479,41909091
79,"Dec 31, 2021","Jul 21, 2023",2021,Ch o NÃ©ng Y Ji RÃ©n,,Comedy,Original Screenplay,Live Action,Fantasy,0,0,0,0,0,0,0,41209025,41209025
80,"Oct 29, 2021","Aug 6, 2021",2021,Boku no Hero Academia: World Heroes,FUNimation,Adventure,Based on Comic/Graphic Novel,Digital Animation,Super Hero,0,1581,1581,3026,6219176,9767647,10862542,31088900,40856547
81,"Nov 19, 2021","Nov 18, 2021",2021,King Richard,Warner Bros.,Drama,Based on Real Life Events,Live Action,Dramatization,50000000,3302,3302,13279,5406033,15138334,16819746,24400000,39538334
82,"May 14, 2021","May 12, 2021",2021,Spiral,Lionsgate,Horror,Original Screenplay,Live Action,Contemporary Fiction,20000000,2811,2991,13342,8750034,23216862,25819339,16302726,39519588
83,"Dec 31, 2021","Dec 17, 2021",2021,Xiong Shi Shao Nian,,Comedy,Original Screenplay,Digital Animation,Contemporary Fiction,0,0,0,0,0,0,0,39463557,39463557
84,"Dec 31, 2021","Jul 9, 2021",2021,Tokyo Revengers,,Drama,Based on Comic/Graphic Novel,Live Action,Science Fiction,0,0,0,0,0,0,0,39236514,39236514
85,"Jan 29, 2021","Jan 29, 2021",2021,Nomadland,Searchlight Pictures,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,5000000,0,1200,4125,0,3700000,3700000,35028987,38728987
86,"Dec 31, 2021","Nov 19, 2021",2021,The Door Lock,,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,38000000,38000000
87,"Dec 17, 2021","Dec 17, 2021",2021,Nightmare Alley,Searchlight Pictures,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Historical Fiction,60000000,2145,2145,12433,2811703,11338107,12439484,26199666,37537773
88,"Dec 31, 2021","Jul 26, 2023",2021,Smugglers,,Action,Original Screenplay,Live Action,Historical Fiction,0,0,0,0,0,0,0,36635299,36635299
89,"Dec 31, 2021","Dec 31, 2021",2021,Yi Nian Wei Dan Wei De Lian Ai,,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,36480000,36480000
90,"Mar 12, 2021","Dec 25, 2020",2021,The Father,Sony Pictures Classics,Drama,Based on Play,Live Action,Contemporary Fiction,6000000,865,933,5124,433611,2120992,2358746,34306163,36427155
91,"Dec 31, 2021","Dec 23, 2021",2021,Posledniy bogatyr 3,,Adventure,Based on Folk Tale/Legend/Fairytale,Animation/Live Action,Fantasy,0,0,0,0,0,0,0,35927669,35927669
92,"Aug 13, 2021","Aug 12, 2021",2021,Respect,United Artists,Drama,Based on Real Life Events,Live Action,Dramatization,0,3207,3207,13948,8807513,24278399,26999877,11474452,35752851
93,"Oct 29, 2021","Oct 27, 2021",2021,Antlers,Searchlight Pictures,Horror,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,0,2800,2800,8672,4271346,10619670,11810072,25060732,35680402
94,"Sep 10, 2021","Sep 2, 2021",2021,Malignant,Warner Bros.,Horror,Original Screenplay,Live Action,Contemporary Fiction,40000000,3485,3501,10420,5434620,13391791,14892940,21500000,34891791
95,"Jul 23, 2021","Jul 21, 2021",2021,Snake Eyes: G.I. Joe Origins,Paramount Pictures,Action,Based on Toy,Live Action,Contemporary Fiction,88000000,3521,3540,10716,13367853,28264325,31432594,6412896,34677221
96,"Dec 31, 2021","May 31, 2022",2021,Detective Conan: The Bride of Halloween,,Action,Based on Comic/Graphic Novel,Digital Animation,Kids Fiction,0,0,0,0,0,0,0,33852685,33852685
97,"Dec 31, 2021","Dec 24, 2021",2021,Ai Qing Shen Hua,,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,33228082,33228082
98,"Dec 31, 2021","Jan 19, 2024",2021,Rob n Roll,,Action,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,32972054,32972054
99,"Nov 26, 2021","Nov 26, 2021",2021,Licorice Pizza,United Artists,Drama,Original Screenplay,Live Action,Contemporary Fiction,40000000,4,1977,11015,345157,17318007,18807818,15585542,32903549
100,"Dec 31, 2021","Sep 30, 2022",2021,PÃ­ng FÃ¡n Y ng XiÃ³ng,,Drama,Based on Real Life Events,Live Action,Dramatization,0,0,0,0,0,0,0,32850000,32850000
1,"Dec 16, 2022","Dec 9, 2022",2022,Avatar: The Way of Water,20th Century Studios,Action,Original Screenplay,Animation/Live Action,Science Fiction,400000000,4202,4340,50491,134100226,688809501,727737382,1634092522,2322902023
2,"May 27, 2022","May 20, 2022",2022,Top Gun: Maverick,Paramount Pictures,Action,Original Screenplay,Live Action,Contemporary Fiction,177000000,4735,4751,69377,126707459,718732821,771972284,733430541,1452163362
3,"Jun 10, 2022","Jun 1, 2022",2022,Jurassic World: Dominion,Universal,Action,Original Screenplay,Animation/Live Action,Science Fiction,185000000,4676,4697,33015,145075625,376851080,404765978,627153512,1004004592
4,"May 6, 2022","May 4, 2022",2022,Doctor Strange in the Multiverse of M,Walt Disney,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,200000000,4534,4534,29807,187420998,411331607,441800619,540893379,952224986
5,"Jul 1, 2022","Jun 16, 2022",2022,Minions: The Rise of Gru,Universal,Adventure,Spin-Off,Digital Animation,Kids Fiction,100000000,4391,4427,45866,107010140,370549695,397953991,567156799,937706494
6,"Nov 11, 2022","Nov 9, 2022",2022,Black Panther: Wakanda Forever,Walt Disney,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,250000000,4396,4396,36295,181339761,453829060,486748459,405379776,859208836
7,"Mar 1, 2022","Mar 1, 2022",2022,The Batman,Warner Bros.,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,200000000,4417,4417,30031,134008624,369612903,396971836,402900000,772512903
8,"Jul 8, 2022","Jul 1, 2022",2022,Thor: Love and Thunder,Walt Disney,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,250000000,4375,4375,33705,144165107,343256830,368683267,417671251,760928081
9,"Feb 11, 2022","Feb 1, 2022",2022,The Battle at Lake Changjin II,CMC Pictures,Action,Based on Real Life Events,Live Action,Dramatization,0,0,0,0,0,0,0,515456809,515456809
10,"Dec 21, 2022","Dec 2, 2022",2022,Puss in Boots: The Last Wish,Universal,Adventure,Spin-Off,Digital Animation,Kids Fiction,110000000,4099,4121,43879,12429515,186090535,194624979,298238602,484329137
11,"Dec 31, 2022","Jul 29, 2022",2022,Moon Man,,Comedy,Original Screenplay,Live Action,Science Fiction,0,0,0,0,0,0,0,460303199,460303199
12,"Apr 15, 2022","Apr 6, 2022",2022,Fantastic Beasts: The Secrets of Dumb,Warner Bros.,Adventure,Spin-Off,Animation/Live Action,Fantasy,200000000,4208,4245,21797,42151256,95850844,102950904,311300000,407150844
13,"Feb 18, 2022","Feb 10, 2022",2022,Uncharted,Sony Pictures,Adventure,Based on Game,Live Action,Contemporary Fiction,120000000,4275,4275,33269,44010155,148648820,159659843,258492438,407141258
14,"Apr 8, 2022","Mar 30, 2022",2022,Sonic the Hedgehog 2,Paramount Pictures,Adventure,Based on Game,Animation/Live Action,Kids Fiction,90000000,4234,4258,31794,72105176,190872904,205011642,212951693,403824597
15,"Oct 21, 2022","Oct 19, 2022",2022,Black Adam,Warner Bros.,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,200000000,4402,4402,28549,67004323,168283344,180638378,225300000,393583344
16,"Feb 18, 2022","Feb 4, 2022",2022,Ji Su Shi Ke,Well Go USA,Action,Original Screenplay,Live Action,Contemporary Fiction,0,20,20,52,72432,185882,199655,330135908,330321790
17,"Jun 24, 2022","Jun 22, 2022",2022,Elvis,Warner Bros.,Drama,Based on Real Life Events,Live Action,Dramatization,85000000,3906,3932,32675,31211579,151416153,162617023,136599250,288015403
18,"Apr 22, 2022","Mar 17, 2022",2022,The Bad Guys,Universal,Comedy,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,70000000,4009,4042,33861,23950245,97787945,104998062,153373095,251161040
19,"Aug 5, 2022","Jul 14, 2022",2022,Bullet Train,Sony Pictures,Thriller/Suspense,Based on Comic/Graphic Novel,Live Action,Contemporary Fiction,85900000,4357,4357,30143,30030156,103368602,111025531,135166361,238534963
20,"Dec 31, 2022","Jul 1, 2022",2022,RÃ©nsh ng dÃ shÃ¬,,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,236170943,236170943
21,"Dec 31, 2022","Jan 20, 2023",2022,Boonie Bears: Guardian Code,,Comedy,Original Screenplay,Digital Animation,Science Fiction,0,0,0,0,0,0,0,222097871,222097871
22,"Dec 31, 2022","Sep 30, 2022",2022,Home Coming,,Drama,Based on Real Life Events,Live Action,Dramatization,0,0,0,0,0,0,0,219150259,219150259
23,"Jun 17, 2022","Jun 15, 2022",2022,Lightyear,Walt Disney,Adventure,Spin-Off,Digital Animation,Kids Fiction,200000000,4255,4255,17580,50577961,118307188,127070689,100570836,218878024
24,"Sep 30, 2022","Sep 28, 2022",2022,Smile,Paramount Pictures,Horror,Based on Short Film,Live Action,Contemporary Fiction,17000000,3650,3659,25562,22609925,105935048,113782083,111103773,217038821
25,"Jul 29, 2022","Jul 27, 2022",2022,DC League of Super Pets,Warner Bros.,Adventure,Based on Comic/Graphic Novel,Digital Animation,Kids Fiction,90000000,4314,4332,36090,23003441,93657117,100594680,113900000,207557117
26,"Nov 4, 2022","Aug 6, 2022",2022,One Piece Film: Red,Crunchyroll,Action,Based on Comic/Graphic Novel,Digital Animation,Contemporary Fiction,0,2367,2367,4580,9340245,12768073,13713861,188619527,201387600
27,"Mar 25, 2022","Mar 24, 2022",2022,The Lost City,Paramount Pictures,Adventure,Original Screenplay,Live Action,Contemporary Fiction,74000000,4253,4283,28480,30453269,105344029,113147287,86244160,191588189
28,"Mar 18, 2022","Dec 24, 2021",2022,Jujutsu Kaisen 0,FUNimation,Action,Based on Comic/Graphic Novel,Digital Animation,Fantasy,0,2286,2418,5864,18003204,33919605,36432168,149844704,183764309
29,"Jul 22, 2022","Jul 21, 2022",2022,Nope,Universal,Horror,Original Screenplay,Live Action,Science Fiction,68000000,3785,3807,21484,44366910,123277080,132408715,48655002,171932082
30,"Oct 21, 2022","Sep 8, 2022",2022,Ticket to Paradise,Universal,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,60000000,3543,4066,24287,16509095,68275985,73330636,100300996,168576981
31,"Apr 1, 2022","Mar 30, 2022",2022,Morbius,Sony Pictures,Action,Spin-Off,Live Action,Super Hero,75000000,4268,4268,18394,39005895,73865530,79337049,88893907,162759437
32,"Jun 24, 2022","Jun 22, 2022",2022,The Black Phone,Universal,Horror,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,18000000,3150,3156,18555,23633220,90123230,96799021,71318684,161441914
33,"Apr 14, 2022","Apr 14, 2022",2022,K.G.F: Chapter 2,Viva Entertainment,Action,Original Screenplay,Live Action,Fantasy,0,510,510,1020,2927234,6604562,7093790,153282496,159887058
34,"Mar 24, 2022","Mar 24, 2022",2022,RRR,Sarigama Cinemas,Action,Based on Fiction Book/Short Story,Live Action,Historical Fiction,0,1200,1200,1943,9500000,14473124,15523383,136038393,150511517
35,"Jan 7, 2022","Dec 31, 2021",2022,Chuan Guo Han Dong Yong Bao Ni,China Lion Film Distribution,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,147337335,147337335
36,"Mar 25, 2022","Mar 25, 2022",2022,Everything Everywhere All At Once,A24,Action,Original Screenplay,Live Action,Science Fiction,25000000,10,2220,28961,501305,77169474,82597485,67816884,144986358
37,"Jul 15, 2022","Jul 15, 2022",2022,Where the Crawdads Sing,Sony Pictures,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,24000000,3650,3650,28742,17253227,90230760,96914519,54123205,144353965
38,"Jan 14, 2022","Jan 12, 2022",2022,Scream,Paramount Pictures,Horror,Original Screenplay,Live Action,Contemporary Fiction,24000000,3664,3666,22305,30018805,81641405,87688918,57233384,138874789
39,"Feb 11, 2022","Feb 9, 2022",2022,Death on the Nile,20th Century Studios,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,90000000,3280,3420,19160,12891123,45630104,49010109,84668080,130298184
40,"Oct 7, 2022","Oct 6, 2022",2022,Lyle Lyle Crocodile,Sony Pictures,Musical,Based on Fiction Book/Short Story,Animation/Live Action,Kids Fiction,50000000,4350,4350,28107,11401182,46888441,50354201,60303627,107192068
41,"May 20, 2022","May 18, 2022",2022,The Roundup 2,Capelight Pictures,Action,Original Screenplay,Live Action,Contemporary Fiction,0,15,22,69,112862,613026,658434,105434596,106047622
42,"Dec 31, 2022","Jul 8, 2022",2022,Shen Tan Da Zhan,,Action,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,105500000,105500000
43,"Oct 14, 2022","Oct 12, 2022",2022,Halloween Ends,Universal,Horror,Original Screenplay,Live Action,Contemporary Fiction,20000000,3901,3901,14653,40050355,64079860,68826519,41320936,105400796
44,"Dec 31, 2022","Aug 5, 2022",2022,Ming ri zhan ji,,Action,Original Screenplay,Live Action,Science Fiction,0,0,0,0,0,0,0,100730000,100730000
45,"Aug 19, 2022","Jun 11, 2022",2022,Dragon Ball Super: Super Hero,Crunchyroll,Action,Based on Comic/Graphic Novel,Digital Animation,Science Fiction,0,3018,3018,6035,21124049,32132374,34512555,65109818,97242192
46,"Sep 16, 2022","Sep 15, 2022",2022,The Woman King,Sony Pictures,Action,Based on Real Life Events,Live Action,Dramatization,50000000,3765,3765,23843,19051442,67328130,72309377,26944504,94272634
47,"May 20, 2022","Apr 27, 2022",2022,Downton Abbey: A New Era,Focus Features,Drama,Based on TV,Live Action,Historical Fiction,0,3820,3830,15325,16000495,44141550,47411294,48559860,92701410
48,"Sep 23, 2022","Sep 20, 2022",2022,Don t Worry Darling,Warner Bros.,Thriller/Suspense,Original Screenplay,Live Action,Historical Fiction,35000000,4113,4121,16634,19353213,45309403,48665652,42300000,87609403
49,"Dec 31, 2022","Jan 1, 2023",2022,Cheburashka,,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Contemporary Fiction,0,0,0,0,0,0,0,86155544,86155544
50,"Feb 4, 2022","Feb 1, 2022",2022,Nian Qing De Gu Shi,CMC Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,85365990,85365990
51,"Feb 18, 2022","Feb 18, 2022",2022,Dog,United Artists,Drama,Original Screenplay,Live Action,Contemporary Fiction,15000000,3677,3827,24113,14883928,61778069,66354221,22765563,84543632
52,"Dec 31, 2022","Aug 18, 2023",2022,Papa,,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,84174084,84174084
53,"Sep 23, 2022","Sep 9, 2022",2022,Ge ni hao,Well Go USA,Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,19,19,26,19850,47033,50522,81275745,81322778
54,"Nov 18, 2022","Nov 16, 2022",2022,The Menu,Searchlight Pictures,Black Comedy,Original Screenplay,Live Action,Contemporary Fiction,30000000,3211,3228,16939,9004957,38501125,41241169,41127075,79628200
55,"Dec 2, 2022","Nov 30, 2022",2022,Violent Night,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,20000000,3682,3723,19007,13450240,50057405,53633377,26542572,76599977
56,"Feb 4, 2022","Feb 3, 2022",2022,jackass forever,Paramount Pictures,Reality,Based on TV,Live Action,Factual,10000000,3604,3653,18316,23154388,57743451,62020749,17045841,74789292
57,"Nov 23, 2022","Nov 22, 2022",2022,Strange World,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,180000000,4174,4174,18823,12151384,39089002,40736392,35652677,74741679
58,"Apr 22, 2022","Apr 13, 2022",2022,The Northman,Focus Features,Action,Original Screenplay,Live Action,Historical Fiction,0,3234,3284,12847,12290800,34233110,36768900,35749186,69982296
59,"Dec 23, 2022","Dec 23, 2022",2022,Babylon,Paramount Pictures,Drama,Original Screenplay,Live Action,Historical Fiction,80000000,3343,3351,10042,3603368,16596054,16553407,47730561,64326615
60,"Jan 14, 2022","Jul 16, 2021",2022,Belle,GKIDS,Adventure,Original Screenplay,Digital Animation,Science Fiction,0,1338,1338,3669,1565658,4018313,4315964,59316126,63334439
